"Open time" "Open" "High" "Low" "Close" "Volume" "Close time" "Quote asset volume" "Number of trades" "Taker buy base asset volume" "Taker buy quote asset volume" "Ignore"
"1606908540000" "19161.89000000" "19171.84000000" "19127.22000000" "19132.43000000" "63.32965500" "1606908599999" "1212916.81815365" "1387" "24.31406200" "465765.45788557" "0"
"1606908600000" "19132.43000000" "19144.58000000" "19112.85000000" "19133.23000000" "32.52553400" "1606908659999" "622132.67094295" "1135" "17.72563000" "339051.78585388" "0"
"1606908660000" "19133.23000000" "19137.93000000" "19110.70000000" "19132.74000000" "33.57983800" "1606908719999" "642035.99003177" "1132" "19.48045600" "372419.83574323" "0"
"1606908720000" "19132.75000000" "19187.72000000" "19132.75000000" "19172.79000000" "72.87498100" "1606908779999" "1397049.74577268" "1654" "44.92026400" "861140.23151780" "0"
"1606908780000" "19171.87000000" "19199.00000000" "19171.87000000" "19171.98000000" "76.61365600" "1606908839999" "1469851.75589269" "1572" "39.78573100" "763336.55753479" "0"
"1606908840000" "19171.97000000" "19184.76000000" "19141.93000000" "19158.65000000" "57.17574100" "1606908899999" "1095808.51209124" "1210" "33.00137000" "632445.72260145" "0"
"1606908900000" "19158.22000000" "19161.63000000" "19141.91000000" "19156.99000000" "26.34715200" "1606908959999" "504612.29326326" "1211" "13.81488600" "264607.95987426" "0"
"1606908960000" "19156.69000000" "19197.00000000" "19151.73000000" "19190.37000000" "54.65669900" "1606909019999" "1048232.43900848" "1370" "26.20590800" "502551.04797773" "0"
"1606909020000" "19189.82000000" "19194.88000000" "19171.47000000" "19190.06000000" "47.41652400" "1606909079999" "909724.20824246" "1071" "31.12962100" "597240.27827998" "0"
"1606909080000" "19190.05000000" "19190.98000000" "19156.89000000" "19166.76000000" "40.01646700" "1606909139999" "767379.56033757" "1015" "9.45021300" "181188.10073787" "0"
"1606909140000" "19166.76000000" "19182.03000000" "19162.05000000" "19169.73000000" "24.03483700" "1606909199999" "460752.55030081" "969" "15.40520000" "295306.41603504" "0"
"1606909200000" "19169.72000000" "19196.13000000" "19163.60000000" "19193.92000000" "37.20011500" "1606909259999" "713539.71106868" "1140" "19.01042800" "364596.66515085" "0"
